epoch,step_name,timestamp,avg_score,normalized_score,train_score,train_normalized,perfect_match,result_match,partial_match,wrong_result,error_count,total_samples,success_rate,error_rate,elapsed_time,total_tokens,prompt_tokens,completion_tokens
0,Baseline (Val),2025-11-30 15:25:16,1.0514,0.3004,0,0,0,0,3,0,7,10,30.0,70.0,2.5,0,0,0
1,Depth 1 (Val),2025-11-30 15:26:00,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,46.64,0,0,0
2,Depth 2 (Val),2025-11-30 15:26:44,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,90.92,0,0,0
3,Depth 3 (Val),2025-11-30 15:27:28,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,135.01,0,0,0
4,Depth 4 (Val),2025-11-30 15:28:12,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,178.93,0,0,0
5,Depth 5 (Val),2025-11-30 15:28:57,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,223.43,0,0,0
