epoch,step_name,timestamp,avg_score,normalized_score,train_score,train_normalized,perfect_match,result_match,partial_match,wrong_result,error_count,total_samples,success_rate,error_rate,elapsed_time,total_tokens,prompt_tokens,completion_tokens
0,Baseline (Val),2025-11-30 14:36:03,1.0514,0.3004,0,0,0,0,3,0,7,10,30.0,70.0,2.59,0,0,0
1,Depth 1 (Val),2025-11-30 14:36:54,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,53.12,0,0,0
2,Depth 2 (Val),2025-11-30 14:37:46,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,105.42,0,0,0
3,Depth 3 (Val),2025-11-30 14:38:31,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,150.84,0,0,0
4,Depth 4 (Val),2025-11-30 14:39:16,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,195.49,0,0,0
5,Depth 5 (Val),2025-11-30 14:40:03,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,241.97,0,0,0
6,Depth 6 (Val),2025-11-30 14:40:50,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,288.94,0,0,0
