epoch,timestamp,avg_score,normalized_score,perfect_match,result_match,partial_match,wrong_result,error_count,total_samples,success_rate,error_rate,elapsed_time,total_tokens
0,2025-11-30 14:32:16,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,2.55,0
1,2025-11-30 14:32:59,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,45.75,0
2,2025-11-30 14:33:48,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,94.92,0
3,2025-11-30 14:34:39,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,146.2,0
4,2025-11-30 14:35:42,1.288,0.368,0,0,17,0,30,47,36.17,63.83,208.57,0
